"","url","catalogNumber","family","subfamily","genus","specificEpithet","scientific_name","typeStatus","stateProvince","country","dateIdentified","habitat","minimumElevationInMeters","geojson.type","decimal_latitude","decimal_longitude"
"3553","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0174770","casent0174770","formicidae","myrmicinae","Crematogaster","coarctata","crematogaster coarctata","","California","San Mateo","","","","point","37.5792","-122.4667"
"3554","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0175452","casent0175452","formicidae","myrmicinae","Crematogaster","gh01","crematogaster gh01","","","","2007-12-31","","783","point","6.26222","-0.55528"
"3555","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0175462","casent0175462","formicidae","myrmicinae","Crematogaster","gh01","crematogaster gh01","","","","2007-12-31","","783","point","6.26222","-0.55528"
"3556","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0175498","casent0175498","formicidae","myrmicinae","Crematogaster","gh01","crematogaster gh01","","","","2007-12-31","","783","point","6.26222","-0.55528"
"3557","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0178193","casent0178193","formicidae","myrmicinae","Crematogaster","maina","crematogaster maina","","","","2012-12-20","coastal scrub ex dead twig above ground","10","point","-12.75754","45.0678"
"3558","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0178194","casent0178194","formicidae","myrmicinae","Crematogaster","tricolor","crematogaster tricolor","","","","2012-12-20","mangrove, coastal scrub ex dead twig above ground","5","point","-12.7926","45.10764"
"3559","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0178195","casent0178195","formicidae","myrmicinae","Crematogaster","dentata","crematogaster dentata","","","","2012-12-20","mangrove, coastal scrub ex dead twig above ground","5","point","-12.7926","45.10764"
"3560","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179465","casent0179465","formicidae","myrmicinae","Crematogaster","tenuicula","crematogaster tenuicula","","Amazonas","","","PPBio Grid, L-O 06","457","point","-2.93333","-59.95"
"3561","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179558","casent0179558","formicidae","myrmicinae","Crematogaster","rasoherinae","crematogaster rasoherinae","","Grande Comore","","2008-12-31","coastal scrub ex dead twig above ground","25","point","-11.51778","43.28"
"3562","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179606","casent0179606","formicidae","myrmicinae","Crematogaster","sordidula","crematogaster sordidula","","","","2008-12-31","half open near pond colony under rock","753","point","44.33477","15.4576"
"3563","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179630","casent0179630","formicidae","myrmicinae","Crematogaster","my01","crematogaster my01","","Sabah","","2008-12-31","rainforest litter","937","point","4.83028","116.90028"
"3564","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179658","casent0179658","formicidae","myrmicinae","Crematogaster","my02","crematogaster my02","","Sabah","","2010-03-24","rainforest","173","point","5.06667","117.75"
"3565","http://antweb.org/api/v2/?occurrenceId=CAS:ANTWEB:casent0179888","casent0179888","formicidae","myrmicinae","Crematogaster","ionia","crematogaster ionia","","","","","","","point","35.36667","24.25"
